Price,District,Town,Type,EnergyCertificate,Parking,ConstructionYear,TotalArea,Garage,Elevator,ElectricCarsCharging,NumberOfBedrooms,NumberOfWC,LivingArea,NumberOfBathrooms,Region
427500.0,Aveiro,Glória e Vera Cruz,Apartment,A,1.0,2024.0,78.0,False,True,True,2.0,2.0,78.0,2.0,Centro
416500.0,Aveiro,Glória e Vera Cruz,Apartment,A,1.0,2024.0,78.0,False,True,True,2.0,2.0,78.0,2.0,Centro
286500.0,Aveiro,Glória e Vera Cruz,Apartment,A,1.0,2024.0,52.0,False,True,True,1.0,1.0,52.0,1.0,Centro
410000.0,Aveiro,Glória e Vera Cruz,Apartment,A,1.0,2024.0,78.0,False,True,True,2.0,2.0,78.0,2.0,Centro
457500.0,Aveiro,Glória e Vera Cruz,Apartment,A,1.0,2024.0,78.0,False,True,True,2.0,2.0,78.0,2.0,Centro
445000.0,Aveiro,Glória e Vera Cruz,Apartment,A,1.0,2024.0,78.0,False,True,True,2.0,2.0,78.0,2.0,Centro
520000.0,Aveiro,Glória e Vera Cruz,Apartment,A,1.0,2024.0,90.0,False,True,True,2.0,2.0,90.0,2.0,Centro
395000.0,Aveiro,Glória e Vera Cruz,Apartment,A,1.0,2024.0,78.0,False,True,True,2.0,2.0,78.0,2.0,Centro
535000.0,Aveiro,Glória e Vera Cruz,Apartment,A,1.0,2024.0,90.0,False,True,True,2.0,2.0,90.0,2.0,Centro
530000.0,Aveiro,Glória e Vera Cruz,Apartment,A,1.0,2024.0,78.0,False,True,True,2.0,2.0,78.0,2.0,Centro
67000.0,Aveiro,São Miguel do Souto e Mosteirô,House,F,0.0,1966.0,53.0,False,False,False,3.0,1.0,50.0,2.0,Norte
295000.0,Aveiro,Gafanha da Nazaré,House,D,0.0,2000.0,221.0,True,False,False,5.0,0.0,221.0,3.0,Centro
155000.0,Aveiro,Oliveira do Bairro,Apartment,E,1.0,2005.0,86.0,False,True,True,2.0,1.0,86.0,2.0,Centro
39000.0,Aveiro,Cepelos,House,NC,1.0,1951.0,50.0,False,False,False,2.0,0.0,81.0,0.0,Centro
180000.0,Aveiro,Sobrado e Bairros,Apartment,B,1.0,2024.0,82.0,False,True,False,2.0,0.0,82.0,2.0,Norte
190000.0,Aveiro,Sobrado e Bairros,Apartment,B,1.0,2024.0,85.0,False,True,False,2.0,0.0,85.0,2.0,Norte
235000.0,Aveiro,Sobrado e Bairros,Apartment,B,1.0,2024.0,116.0,False,True,False,3.0,0.0,116.0,2.0,Norte
235000.0,Aveiro,Sobrado e Bairros,Apartment,B,1.0,2024.0,108.0,False,True,False,3.0,0.0,108.0,2.0,Norte
225000.0,Aveiro,Sobrado e Bairros,Apartment,B,1.0,2024.0,108.0,False,True,False,3.0,0.0,108.0,2.0,Norte
